rooms,floor,totfloors,lon,lat,m2,price
1,1,3,39.769936,47.251134,20.00,1500000
2,3,9,39.75647,47.287392,46.00,2350000
2,5,5,39.64277,47.215303,46.00,2500000
2,5,9,39.706272,47.281818,51.00,2900000
1,5,5,39.620205,47.203629,31.00,1950000
3,1,4,39.608365,47.212163,75.00,4800000
1,13,28,39.677688,47.197862,34.00,2300000
2,5,6,39.696319,47.288658,68.00,6150000
4,19,20,39.696319,47.288658,175.00,8990000
2,8,14,39.706542,47.278779,51.00,3300000
2,4,10,39.743525,47.300746,60.00,2950000
2,12,17,39.616225,47.215297,56.00,4600000
0,2,2,39.62493,47.200115,39.00,2000000
1,5,5,39.627292,47.211716,34.00,1850000
1,12,23,39.701951,47.242325,48.00,3600000
2,10,10,39.703802,47.254644,60.00,3200000
1,2,5,39.71044,47.249366,31.00,2100000
2,1,10,39.727958,47.301217,54.00,3200000
2,1,10,39.701897,47.29194,54.00,3100000
0,5,9,39.614779,47.229782,31.00,1880000
2,7,10,39.744442,47.297776,54.00,3100000
1,21,23,39.702508,47.281249,37.00,2300000
2,8,9,39.70073,47.228332,43.60,3650000
2,8,9,39.635566,47.212028,45.00,2900000
3,2,5,39.649247,47.216955,50.00,3200000
2,3,5,39.716459,47.226686,57.00,4000000
1,4,10,39.624067,47.222237,40.00,3000000
3,6,17,39.630715,47.225744,75.00,5000000
2,14,19,39.695888,47.290473,94.00,6650000
2,8,9,39.692995,47.289354,50.00,2590000
2,6,12,39.622441,47.216062,60.00,3200000
4,10,17,39.720771,47.285546,100.00,6800000
1,4,4,39.778488,47.237119,23.00,800000
1,2,5,39.632125,47.220787,36.00,1850000
1,14,25,39.622441,47.216062,42.00,2500000
1,16,17,39.725227,47.298198,46.00,2800000
5,3,9,39.730832,47.228932,78.00,6900000
2,8,15,39.668507,47.21444,46.00,2500000
2,15,21,39.708293,47.283254,74.00,4800000
2,12,21,39.697208,47.28856,64.00,3100000
3,7,9,39.693435,47.291182,64.00,3900000
1,5,9,39.757943,47.281616,17.00,900000
3,3,4,39.773089,47.251152,65.00,2600000
1,1,1,39.681604,47.234004,33.00,1800000
2,5,18,39.711967,47.295973,82.00,4500000
3,4,4,39.687731,47.237486,65.00,3000000
1,1,1,39.685844,47.227971,24.00,1350000
1,8,10,39.628325,47.198542,33.00,1850000
1,10,23,39.726421,47.246369,44.00,3695000
1,8,14,39.735279,47.294482,42.00,2800000
5,4,4,39.724607,47.230774,129.00,7500000
0,2,5,39.640039,47.208508,18.00,1480000
1,1,4,39.726969,47.221527,35.00,2400000
1,4,7,39.669351,47.21821,35.50,2000000
1,8,9,39.70541,47.217182,19.00,1900000
3,3,9,39.624085,47.231692,64.00,3200000
2,6,9,39.718067,47.285051,54.00,3300000
3,1,9,39.802078,47.237987,106.00,8450000
4,5,10,39.759057,47.22668,105.00,6600000
1,3,5,39.72882,47.296701,39.30,2650000
3,9,18,39.685234,47.26372,91.00,5000000
0,8,10,39.628325,47.198542,33.00,1800000
2,2,9,39.655095,47.262411,52.00,2650000
2,1,5,39.75143,47.238972,44.00,2550000
2,4,25,39.677688,47.197862,57.00,2570000
2,6,17,39.675981,47.315056,68.00,2600000
3,3,9,39.625594,47.203139,64.00,3750000
0,7,9,39.718292,47.288273,31.00,1670000
1,6,17,39.723619,47.302482,43.00,2600000
1,3,10,39.800802,47.238483,41.00,2320000
1,11,14,39.718067,47.297171,60.00,3490000
1,18,22,39.701951,47.242325,48.00,3990000
3,3,10,39.719432,47.265341,65.50,4780000
3,6,9,39.800622,47.237253,84.00,6200000
3,9,10,39.830437,47.239713,73.00,4500000
1,3,14,39.70364,47.282869,52.00,3170000
3,6,17,39.674328,47.313718,85.00,3200000
1,3,17,39.60134,47.233099,40.00,2250000
1,7,18,39.723619,47.302482,40.00,2750000
1,10,19,39.632287,47.218241,33.00,1650000
2,4,9,39.675774,47.213399,53.00,3500000
1,6,18,39.595636,47.232817,28.00,1800000
2,5,5,39.813181,47.237125,41.30,2600000
4,19,20,39.696319,47.288658,150.00,10900000
2,16,24,39.731838,47.226802,76.00,10000000
3,9,16,39.696615,47.223394,90.00,5950000
1,2,20,39.590569,47.23305,49.00,2550000
1,5,5,39.747388,47.272354,31.00,2150000
1,7,10,39.802608,47.237431,48.00,4000000
2,6,10,39.735279,47.294482,57.00,3750000
1,4,22,39.751934,47.227023,42.00,3800000
3,2,12,39.619513,47.21537,83.00,3900000
3,5,9,39.707269,47.284899,64.00,3000000
0,15,17,39.703317,47.298522,20.00,1500000
2,6,9,39.830833,47.242894,52.00,3000000
1,1,9,39.802679,47.282716,32.00,1900000
2,6,9,39.704206,47.299011,53.00,2800000
3,2,22,39.684515,47.237841,76.00,5800000
1,8,10,39.740561,47.295167,40.00,2800000
2,1,5,39.722235,47.291671,30.00,1500000
1,3,22,39.702329,47.282038,31.00,1544000
1,15,23,39.702508,47.281249,37.00,1900000
1,7,9,39.617653,47.23294,33.00,1850000
1,4,5,39.689123,47.213307,19.00,1150000
1,9,10,39.624067,47.222237,33.40,2800000
1,2,9,39.695097,47.239052,37.00,2400000
1,2,5,39.69958,47.249629,31.80,2300000
1,14,16,39.74039,47.302188,47.00,2750000
